regions,iso3,name,forest area 2025,boreal,temperate,tropical,subtropical,1990,2000,2010,2015,2020,2025,1a_forestArea
"North and Central America","LCA","Saint Lucia","32.84","0","0","100","0","27.06","29.06","31.06","32.06","32.59","32.84",
"Europe","LIE","Liechtenstein","5.98","0","100","0","0","5.20","5.38","5.55","5.55","5.55","5.98",
"Asia","LKA","Sri Lanka","2120.69","0","0","100","0","2369.94","2231.14","2155.96","2098.25","2145.41","2120.69",
"Africa","LSO","Lesotho","34.52","0","0","0","100","34.52","34.52","34.52","34.52","34.52","34.52",
"Europe","LTU","Lithuania","2216.34","0.00","100.00","0.00","0.00","1945.00","2020.00","2170.00","2187.00","2202.19","2216.34",
"Europe","LUX","Luxembourg","88.70","0","100","0","0","85.80","86.70","88.70","88.70","88.70","88.70",
"Europe","LVA","Latvia","3466.96","0","100","0","0","3173.00","3241.00","3372.12","3398.62","3434.13","3466.96",
"North and Central America","MAF","Saint Martin (French Part)","1.24","0","0","100","0","1.24","1.24","1.24","1.24","1.24","1.24",
"Africa","MAR","Morocco","5695.34","0","0","0","100","5700.99","5698.67","5695.70","5689.90","5693.77","5695.34",
"Europe","MCO","Monaco","0.00","0","0","0","100","0.00","0.00","0.00","0.00","0.00","0.00",
"Europe","MDA","Republic of Moldova","370.30","0","100","0","0","325.40","344.40","374.50","386.40","373.20","370.30",
"Africa","MDG","Madagascar","9922.08","0","0","100","0","13677.14","13014.36","11946.26","11145.60","10543.47","9922.08",
"Asia","MDV","Maldives","3.72","0","0","100","0","3.72","3.72","3.72","3.72","3.72","3.72",
"North and Central America","MEX","Mexico","66265.59","0.00","0.00","57.20","42.80","71803.93","69593.66","68155.65","67543.26","66904.42","66265.59",
"Oceania","MHL","Marshall Islands","9.71","0","0","100","0","9.40","9.40","9.40","9.40","9.71","9.71",
"Europe","MKD","North Macedonia","1026.10","0","59","0","41","912.00","957.55","960.43","994.40","1042.32","1026.10",
"Africa","MLI","Mali","10479.25","0","0","100","0","13998.36","12992.90","11987.44","11484.71","10981.98","10479.25",
"Europe","MLT","Malta","0.47","0","0","0","100","0.35","0.35","0.35","0.35","0.46","0.47",
"Asia","MMR","Myanmar","27095.32","0.00","0.00","100.00","0.00","39218.48","34868.11","31441.00","29992.44","28543.88","27095.32",
"Europe","MNE","Montenegro","827.00","0","68","0","32","626.00","626.00","827.00","827.00","827.00","827.00",
"Asia","MNG","Mongolia","14178.33","53","47","0","0","14352.00","14263.90","14183.90","14178.33","14178.33","14178.33",
"Oceania","MNP","Northern Mariana Islands","24.36","0","0","100","0","20.32","20.32","20.32","24.36","24.36","24.36",
"Africa","MOZ","Mozambique","32242.90","0","0","100","0","41588.91","38918.62","36248.33","34913.19","33578.04","32242.90",
"Africa","MRT","Mauritania","1019.13","0","0","100","0","927.15","953.43","979.70","992.84","1005.98","1019.13",
"North and Central America","MSR","Montserrat","2.42","0","0","100","0","3.50","2.42","2.42","2.42","2.42","2.42",
"North and Central America","MTQ","Martinique","52.67","0","0","100","0","47.84","48.74","50.29","51.29","52.29","52.67",
"Africa","MUS","Mauritius","38.29","0","0","100","0","41.07","41.93","38.36","38.30","38.29","38.29",
"Africa","MWI","Malawi","2031.70","0","0","100","0","3501.76","3081.70","2661.70","2451.70","2241.70","2031.70",
"Asia","MYS","Malaysia","18884.74","0","0","100","0","20618.50","19691.35","18947.65","19464.22","19184.74","18884.74",
"Africa","MYT","Mayotte","9.60","0","0","100","0","19.25","14.79","10.41","10.05","9.77","9.60",
"Africa","NAM","Namibia","8042.96","0","0","100","0","8769.17","8059.08","8052.63","8049.41","8046.18","8042.96",
"Oceania","NCL","New Caledonia","892.61","0","0","100","0","831.13","837.85","839.02","892.61","892.61","892.61",
"Africa","NER","Niger","1055.10","0","0","100","0","1945.00","1328.10","1203.90","1141.80","1079.70","1055.10",
"Oceania","NFK","Norfolk Island","0.49","0","0","0","100","0.49","0.49","0.49","0.49","0.49","0.49",
"Africa","NGA","Nigeria","17129.96","0","0","100","0","21570.86","20302.03","19033.20","18398.78","17764.37","17129.96",
"North and Central America","NIC","Nicaragua","4780.70","0","0","100","0","7098.90","6105.70","5112.50","5001.90","4891.33","4780.70",
"Oceania","NIU","Niue","18.87","0","0","100","0","18.93","18.83","18.77","18.82","18.87","18.87",
"Europe","NLD","Netherlands (Kingdom of the)","369.33","0.00","100.00","0.00","0.00","345.33","359.50","373.48","364.83","367.08","369.33",
"Europe","NOR","Norway","12108.64","93","7","0","0","12216.87","12198.48","12149.29","12132.98","12120.81","12108.64",
"Asia","NPL","Nepal","6266.25","0.00","30.00","28.00","42.00","5748.11","5915.52","6082.93","6100.45","6183.35","6266.25",
"Oceania","NRU","Nauru","0.00","0","0","100","0","0.00","0.00","0.00","0.00","0.00","0.00",
"Oceania","NZL","New Zealand","10303.03","12.63","66.28","4.20","16.89","9372.27","9850.44","9848.12","9846.61","9965.29","10303.03",
"Asia","OMN","Oman","1.60","0.00","0.00","0.00","100.00","1.60","1.60","1.60","1.60","1.60","1.60",
"Asia","PAK","Pakistan","3192.46","0.00","62.23","9.13","28.64","3461.01","3316.91","3164.83","3036.05","3088.53","3192.46",
"North and Central America","PAN","Panama","4614.61","0","0","100","0","4956.04","4790.78","4676.63","4644.75","4629.68","4614.61",
"Oceania","PCN","Pitcairn","3.69","0","0","100","0","3.69","3.69","3.69","3.69","3.69","3.69",
"South America","PER","Peru","67159.76","0","0","100","0","77037.89","74044.52","71051.15","69554.46","68656.45","67159.76",
"Asia","PHL","Philippines","7438.64","0","0","100","0","7778.81","7309.26","6839.72","7014.15","7226.39","7438.64",
"Oceania","PLW","Palau","41.87","0","0","100","0","38.15","39.58","40.56","40.99","41.42","41.87",
"Oceania","PNG","Papua New Guinea","34028.96","0.00","0.00","100.00","0.00","34614.36","34395.22","34176.04","34153.01","34047.71","34028.96",
"Europe","POL","Poland","9495.00","0","100","0","0","8882.00","9059.00","9329.00","9420.00","9464.20","9495.00",
"North and Central America","PRI","Puerto Rico","436.06","0.00","0.00","0.00","100.00","303.83","429.15","491.45","488.18","462.11","436.06",
"Asia","PRK","Democratic People's Republic of Korea","7727.93","0","100","0","0","7455.43","7455.43","7557.61","7614.38","7671.15","7727.93",
"Europe","PRT","Portugal","3362.63","0.00","100.00","0.00","0.00","3438.42","3348.57","3251.88","3311.83","3334.39","3362.63",
"South America","PRY","Paraguay","14297.39","0","0","100","0","25679.68","21909.71","18139.75","16369.67","15115.94","14297.39",
"Asia","PSE","Palestine","11.10","0","0","54","46","9.08","9.08","9.98","10.57","11.10","11.10",
"Oceania","PYF","French Polynesia","149.46","0","0","100","0","144.43","148.55","149.46","149.46","149.46","149.46",
"Asia","QAT","Qatar","1.40","0","0","0","100","1.40","1.40","1.40","1.40","1.40","1.40",
"Africa","REU","Réunion","77.15","0","0","100","0","67.95","70.97","73.99","76.05","77.07","77.15",
"Europe","ROU","Romania","6957.13","0","100","0","0","6371.00","6366.00","6515.00","6900.96","6929.05","6957.13",
"Europe","RUS","Russian Federation","832629.93","90.00","10.00","0.00","0.00","811641.29","812445.37","821501.93","823206.17","828432.20","832629.93",
"Africa","RWA","Rwanda","634.63","0","0","100","0","436.85","409.23","416.24","489.03","561.83","634.63",
"Asia","SAU","Saudi Arabia","2775.55","0.00","0.00","0.00","100.00","2768.05","2768.05","2768.05","2768.05","2768.05","2775.55",
"Africa","SDN","Sudan","21980.40","0","0","100","0","28075.30","26333.90","24592.50","23721.80","22851.10","21980.40",
"Africa","SEN","Senegal","8649.32","0","0","100","0","9193.36","9037.91","8882.46","8804.74","8727.02","8649.32",
"Asia","SGP","Singapore","15.80","0","0","100","0","14.83","17.01","17.74","16.47","15.80","15.80",
"Africa","SHN","Ascension, Saint Helena and Tristan da Cunha","2.02","0","0","100","0","2.02","2.02","2.02","2.02","2.02","2.02",
"Europe","SJM","Svalbard and Jan Mayen Islands","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00",
"Oceania","SLB","Solomon Islands","2513.93","0","0","100","0","2539.71","2532.34","2524.96","2521.27","2517.60","2513.93",
"Africa","SLE","Sierra Leone","2436.27","0","0","100","0","3126.70","2929.43","2732.16","2633.53","2534.90","2436.27",
"North and Central America","SLV","El Salvador","684.84","0","0","100","0","735.51","705.81","676.11","676.49","680.66","684.84",
"Europe","SMR","San Marino","1.00","0","0","0","100","1.00","1.00","1.00","1.00","1.00","1.00",
"Africa","SOM","Somalia","4829.75","0","0","100","0","8283.50","7516.00","6748.50","5979.00","5209.50","4829.75",
"North and Central America","SPM","Saint Pierre and Miquelon","1.10","100","0","0","0","1.90","1.67","1.45","1.33","1.21","1.10",
"Europe","SRB","Serbia","3475.20","0","100","0","0","2313.00","2483.20","2879.99","3078.40","3276.80","3475.20",
"Africa","SSD","South Sudan","7160.00","0","0","100","0","7104.20","7114.20","7136.20","7157.00","7152.50","7160.00",
"Africa","STP","Sao Tome and Principe","55.28","0","0","100","0","59.07","58.54","58.00","55.03","55.15","55.28",
"South America","SUR","Suriname","14674.20","0","0","100","0","14866.25","14901.98","14862.02","14838.61","14765.46","14674.20",
"Europe","SVK","Slovakia","1940.49","0","100","0","0","1902.48","1901.41","1917.91","1921.75","1931.22","1940.49",
"Europe","SVN","Slovenia","1243.55","0","95","0","5","1188.00","1233.00","1247.00","1248.00","1243.83","1243.55",
"Europe","SWE","Sweden","27934.00","73.50","26.50","0","0","28063.00","28163.00","28073.00","27980.00","27934.00","27934.00",
"Africa","SWZ","Eswatini","433.07","0.00","0.00","82.00","18.00","485.57","470.57","455.57","448.07","440.57","433.07",
"North and Central America","SXM","Sint Maarten (Dutch part)","0.30","0","0","100","0","0.30","0.30","0.30","0.30","0.30","0.30",
"Africa","SYC","Seychelles","26.52","0","0","100","0","34.13","31.96","29.79","28.70","27.61","26.52",
"Asia","SYR","Syrian Arab Republic","527.81","0","0","0","100","450.99","460.77","511.98","527.27","527.65","527.81",
"North and Central America","TCA","Turks and Caicos Islands","10.52","0","0","100","0","10.52","10.52","10.52","10.52","10.52","10.52",
"Africa","TCD","Chad","3611.32","0","0","100.00","0","6730.08","6352.74","5530.04","4890.46","4250.89","3611.32",
"Africa","TGO","Togo","1224.46","0","0","100","0","1298.06","1268.46","1238.87","1224.07","1209.26","1224.46",
"Asia","THA","Thailand","19647.48","0","0","100","0","20235.00","20165.00","20095.00","20060.00","20337.56","19647.48",
"Asia","TJK","Tajikistan","424.50","0","100","0","0","408.00","410.00","410.00","421.80","423.00","424.50",
"Oceania","TKL","Tokelau","0.00","0","0","100","0","0.00","0.00","0.00","0.00","0.00","0.00",
"Asia","TKM","Turkmenistan","2330.00","0","89","0","11","2330.00","2330.00","2330.00","2330.00","2330.00","2330.00",
"Asia","TLS","Timor-Leste","1054.33","0","0","100","0","1100.57","1086.57","1072.57","1065.57","1058.57","1054.33",
"Oceania","TON","Tonga","8.73","0","0","100","0","8.73","8.73","8.73","8.73","8.73","8.73",
"North and Central America","TTO","Trinidad and Tobago","226.05","0","0","100","0","240.90","236.65","232.41","230.29","228.17","226.05",
"Africa","TUN","Tunisia","687.49","0","0","0","100","643.98","667.84","703.43","704.93","699.00","687.49",
"Asia","TUR","Türkiye","22805.76","0","12","0","88","19783.48","20148.35","21083.08","21630.30","22220.36","22805.76",
"Oceania","TUV","Tuvalu","1.03","0","0","100","0","1.03","1.03","1.03","1.03","1.03","1.03",
"Africa","TZA","United Republic of Tanzania","43400.00","0","0","100","0","58165.00","54135.00","50105.00","48090.00","45745.00","43400.00",
"Africa","UGA","Uganda","2367.67","0","0","100","0","4548.03","3400.84","2899.37","2648.64","2508.16","2367.67",
"Europe","UKR","Ukraine","10090.00","0","100","0","0","9274.00","9510.00","9548.00","9700.00","9900.00","10090.00",
"South America","URY","Uruguay","2024.00","0","0","0","100","879.44","1336.29","1695.93","1834.39","1932.03","2024.00",
"North and Central America","USA","United States of America","308895.00","15.00","59.00","0.00","26.00","302450.00","303536.00","308720.00","310095.00","309255.00","308895.00",
"Asia","UZB","Uzbekistan","3894.19","0","100","0","0","2549.37","2961.46","3349.60","3549.40","3689.00","3894.19",
"Europe","VAT","Holy See","0.00","0","0","0","100","0.00","0.00","0.00","0.00","0.00","0.00",
"North and Central America","VCT","Saint Vincent and the Grenadines","28.56","0","0","100","0","28.52","28.54","28.55","28.55","28.56","28.56",
"South America","VEN","Venezuela (Bolivarian Republic of)","47088.24","0","0","100","0","50483.58","49231.58","48382.05","47879.23","47334.70","47088.24",
"North and Central America","VGB","British Virgin Islands","9.97","0","0","100","0","10.00","9.99","9.98","9.97","9.97","9.97",
"North and Central America","VIR","United States Virgin Islands","20.66","0","0","0.00","100.00","20.41","19.29","18.43","19.16","19.91","20.66",
"Asia","VNM","Viet Nam","14790.08","0","0","95","5","9375.96","11784.10","13388.06","14061.86","14677.22","14790.08",
"Oceania","VUT","Vanuatu","907.44","0","0","100","0","990.89","967.05","943.20","931.28","919.36","907.44",
"Oceania","WLF","Wallis and Futuna Islands","10.82","0","0","100","0","9.63","9.14","9.48","9.92","10.37","10.82",
"Oceania","WSM","Samoa","159.76","0","0","100","0","176.58","171.77","166.96","164.56","162.16","159.76",
"Asia","YEM","Yemen","549.00","0","0","100","0","549.00","549.00","549.00","549.00","549.00","549.00",
"Africa","ZAF","South Africa","22881.42","0","0","30","70","19816.56","20692.24","21567.92","22005.76","22443.59","22881.42",
"Africa","ZMB","Zambia","44874.29","0","0","100","0","47412.00","47054.00","46696.00","45755.10","45360.07","44874.29",
"Africa","ZWE","Zimbabwe","13766.01","0","0","100","0","16715.38","15658.19","14601.00","14302.67","14031.01","13766.01",
