iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
PRY,2017,30,357958.4433732816,9988.899492234625,514.5,514.5,61959.06716150047,15812.073963868308,15812073.963868309,-271021.5965124294,FRA2025_PCHIP,0.027905193122705948,1.320774609771237,14315.73540212773,11.414
PRY,2018,30,257798.9931445628,1996.0419459510415,476.0,476.0,61959.06716150047,15558.96658716551,15558966.58716551,-253107.37670279853,FRA2025_PCHIP,0.007742628943596166,1.0185360715396028,14541.04380812162,11.186
PRY,2019,30,304328.684137951,8253.273113319845,562.0,562.0,61959.06716150047,15326.134806975142,15326134.80697514,-232831.7801903691,FRA2025_PCHIP,0.027119603059101285,1.307075365266392,14766.35221411551,10.958
PRY,2020,30,240305.34181322705,14592.641002510638,1935.5,1935.5,61959.06716150047,15115.94,15115940.0,-210194.8069751412,FRA2025_PCHIP,0.060725412478980605,1.143250612474203,14991.6606201094,10.73
PRY,2021,30,274368.1273313604,6838.36321153558,2170.5,2168.5,61959.06716150047,14923.264435328045,14923264.435328044,-192675.564671956,FRA2025_PCHIP,0.024924043758467393,1.4239902594731817,14991.6606201094,10.73
PRY,2022,30,216139.98642276743,4516.264490584742,1201.0,1199.0,61959.06716150047,14742.87833974405,14742878.33974405,-180386.09558399397,FRA2025_PCHIP,0.02089509010031572,1.198207576493196,14991.6606201094,10.73
PRY,2023,30,182989.13208147656,2754.0040878812288,766.5,766.5,61959.06716150047,14576.975026496031,14576975.026496032,-165903.3132480178,FRA2025_PCHIP,0.015050096454116186,1.1029866040584508,14991.6606201094,10.73
SUR,2015,30,11490.833357644642,319.9005221761454,1001.5,1000.0,6864.854889826815,14838.61,14838610.0,,FRA2025_PCHIP,0.027839627659670255,,20931.91858639575,9.129999999999999
SUR,2016,30,16520.52509858351,833.3973814790415,2139.0,2136.5,6864.854889826815,14829.061015340849,14829061.01534085,-9548.984659150245,FRA2025_PCHIP,0.050446179918972316,1.73008185564031,20563.80721280112,8.932
SUR,2017,30,17671.584293907712,444.07127867021234,1605.5,1604.5,6864.854889826815,14815.54959697532,14815549.59697532,-13511.418365528809,FRA2025_PCHIP,0.025129115266892404,1.3079000158112626,20195.695839206488,8.734
