iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
ARG,2021,50,134655.38066520513,985.9958391276803,67057.5,67020.0,627940.5031489173,47312.09440962416,47312094.40962416,-183495.59037584063,FRA2025_PCHIP,0.007322364945662071,0.7338344228839523,23877.0931404855,6.36
ARG,2022,10,242753.06968823465,11848.606968286094,89147.5,89096.0,627940.5031489173,47130.55401082718,47130554.01082718,-181540.3987969756,FRA2025_PCHIP,0.04880929820373906,1.3371848431362972,23877.0931404855,6.36
ARG,2022,30,231847.1851123075,11078.564260401627,80344.5,80298.0,627940.5031489173,47130.55401082718,47130554.01082718,-181540.3987969756,FRA2025_PCHIP,0.047783906692829316,1.2771106962896568,23877.0931404855,6.36
ARG,2022,50,162360.72327917803,9274.984771126143,59783.0,59748.0,627940.5031489173,47130.55401082718,47130554.01082718,-181540.3987969756,FRA2025_PCHIP,0.0571257911630381,0.8943503724521007,23877.0931404855,6.36
ARG,2023,10,224639.67643268325,2351.3841826335683,86361.5,86305.0,627940.5031489173,46951.00240721812,46951002.40721812,-179551.60360906273,FRA2025_PCHIP,0.010467359194840173,1.2511148434061925,23877.0931404855,6.36
ARG,2023,30,215765.37953389762,2079.9351584236,78181.5,78130.5,627940.5031489173,46951.00240721812,46951002.40721812,-179551.60360906273,FRA2025_PCHIP,0.009639800244676575,1.201690072363169,23877.0931404855,6.36
ARG,2023,50,153487.73541413344,1648.046022623732,58115.5,58077.0,627940.5031489173,46951.00240721812,46951002.40721812,-179551.60360906273,FRA2025_PCHIP,0.010737314080353399,0.8548391232880432,23877.0931404855,6.36
BOL,2015,10,166516.1766680904,9095.442698423698,45887.5,45861.5,173066.67078120078,56687.18,56687180.0,,FRA2025_PCHIP,0.05462197655758849,,8286.32687225115,12.195
BOL,2015,30,164930.08782148673,9007.176104668486,43582.5,43558.0,173066.67078120078,56687.18,56687180.0,,FRA2025_PCHIP,0.05461208578520536,,8286.32687225115,12.195
BOL,2015,50,150791.75110120195,8818.383575091553,38755.0,38732.5,173066.67078120078,56687.18,56687180.0,,FRA2025_PCHIP,0.05848054360197202,,8286.32687225115,12.195
BOL,2016,10,474940.2681579497,15972.155255669251,126694.0,126597.5,173066.67078120078,56487.45324680999,56487453.24681,-199726.7531900033,FRA2025_PCHIP,0.0336298190035919,2.377950177291128,8429.256628207177,12.556000000000001
BOL,2016,30,468542.72506127885,15817.938227517765,120746.5,120652.0,173066.67078120078,56487.45324680999,56487453.24681,-199726.7531900033,FRA2025_PCHIP,0.033759863042263645,2.3459186993118872,8429.256628207177,12.556000000000001
BOL,2016,50,437020.624686267,15358.03997662586,107696.5,107609.5,173066.67078120078,56487.45324680999,56487453.24681,-199726.7531900033,FRA2025_PCHIP,0.03514259764662424,2.188092570004992,8429.256628207177,12.556000000000001
BOL,2017,10,466819.15282429295,24623.32154001089,145984.0,145869.5,173066.67078120078,56269.15454801282,56269154.548012815,-218298.69879718125,FRA2025_PCHIP,0.05274702503322291,2.138442214252542,8572.186384163202,12.917
BOL,2017,30,462381.6915513206,24424.362238844093,139617.5,139504.0,173066.67078120078,56269.15454801282,56269154.548012815,-218298.69879718125,FRA2025_PCHIP,0.052822944085218364,2.118114739570271,8572.186384163202,12.917
BOL,2017,50,433296.1293827836,23728.986805698925,125206.0,125101.5,173066.67078120078,56269.15454801282,56269154.548012815,-218298.69879718125,FRA2025_PCHIP,0.05476390209047125,1.984877288642723,8572.186384163202,12.917
BOL,2018,10,304944.10924115364,11889.456103615164,127680.5,127594.0,173066.67078120078,56038.90822581064,56038908.22581063,-230246.3222021833,FRA2025_PCHIP,0.038988967956134,1.3244255383735377,8715.116140119228,13.278
BOL,2018,30,301830.80783522513,11768.828779540614,122823.5,122739.0,173066.67078120078,56038.90822581064,56038908.22581063,-230246.3222021833,FRA2025_PCHIP,0.038991476264296485,1.3109039264921776,8715.116140119228,13.278
BOL,2018,50,279195.7013215681,11447.980343124174,111081.0,111003.0,173066.67078120078,56038.90822581064,56038908.22581063,-230246.3222021833,FRA2025_PCHIP,0.041003426230903105,1.2125957046836193,8715.116140119228,13.278
BOL,2019,10,869028.1016249389,155293.03634720354,207188.0,207056.0,173066.67078120078,55803.33860240564,55803338.60240564,-235569.6234049946,FRA2025_PCHIP,0.1786973701504373,3.6890499252991273,8858.045896075255,13.639
BOL,2019,30,860438.6990325182,154869.21190121543,200397.0,200267.5,173066.67078120078,55803.33860240564,55803338.60240564,-235569.6234049946,FRA2025_PCHIP,0.17998866400982566,3.6525876579309204,8858.045896075255,13.639
BOL,2019,50,802113.9904899122,151259.57954269013,183758.5,183641.5,173066.67078120078,55803.33860240564,55803338.60240564,-235569.6234049946,FRA2025_PCHIP,0.1885761641562995,3.4049975497515934,8858.045896075255,13.639
BOL,2020,10,436361.8687444787,84308.96407406019,250260.5,250096.0,173066.67078120078,55569.07,55569070.0,-234268.6024056375,FRA2025_PCHIP,0.1932088253188529,1.862656217109775,9000.97565203128,14.0
BOL,2020,30,433393.7999176144,84039.56392105353,241301.5,241142.0,173066.67078120078,55569.07,55569070.0,-234268.6024056375,FRA2025_PCHIP,0.1939103972807847,1.8499867052913492,9000.97565203128,14.0
